d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
  31.263   7.0   8.710E-02  -1.366E-02   8.425E-01   9.151E-02  -2.689E-02   1.241E+00   1.000E+00   0.000E+00   8.425E-01   1.241E+00
  31.263  10.0   8.712E-02  -1.270E-02   8.611E-01   9.164E-02  -2.798E-02   1.195E+00   1.000E+00   0.000E+00   8.611E-01   1.195E+00
  31.263  15.0   8.713E-02  -1.175E-02   8.895E-01   9.198E-02  -2.914E-02   1.128E+00   1.000E+00   0.000E+00   8.895E-01   1.128E+00
  31.263  20.0   8.725E-02  -1.122E-02   8.939E-01   9.227E-02  -3.005E-02   1.088E+00   1.000E+00   0.000E+00   8.939E-01   1.088E+00
  49.983   1.0   8.285E-02  -1.656E-02   7.558E-01   8.361E-02   1.500E-02   8.034E-01   3.500E-01   7.987E-02   7.558E-01   8.034E-01
  49.983   3.0   8.306E-02  -1.560E-02   7.882E-01   8.402E-02   1.208E-02   7.866E-01   3.500E-01   7.802E-02   7.882E-01   7.866E-01
  49.983   5.0   8.310E-02  -1.468E-02   8.087E-01   8.288E-02   1.947E-02   7.594E-01   2.500E-01   7.692E-02   8.087E-01   7.594E-01
  49.983   7.0   8.311E-02  -1.402E-02   8.239E-01   8.295E-02   1.873E-02   7.578E-01   2.500E-01   7.597E-02   8.239E-01   7.578E-01
  49.983  10.0   8.316E-02  -1.330E-02   8.433E-01   8.301E-02   1.757E-02   7.497E-01   2.500E-01   7.492E-02   8.433E-01   7.497E-01
  49.983  15.0   8.321E-02  -1.256E-02   8.706E-01   8.296E-02   1.710E-02   7.638E-01   2.500E-01   7.392E-02   8.706E-01   7.638E-01
  49.983  20.0   8.321E-02  -1.202E-02   8.969E-01   8.287E-02   1.692E-02   7.655E-01   2.500E-01   7.319E-02   8.969E-01   7.655E-01
  67.763   1.0   8.072E-02  -1.615E-02   7.447E-01   8.113E-02   1.943E-02   8.486E-01   4.500E-01   8.641E-02   7.447E-01   8.486E-01
  67.763   3.0   8.121E-02  -1.564E-02   7.554E-01   8.162E-02   1.665E-02   8.306E-01   4.500E-01   8.441E-02   7.554E-01   8.306E-01
  67.763   5.0   8.133E-02  -1.498E-02   7.691E-01   8.189E-02   1.495E-02   8.183E-01   4.500E-01   8.312E-02   7.691E-01   8.183E-01
  67.763   7.0   8.144E-02  -1.450E-02   7.790E-01   8.214E-02   1.366E-02   8.117E-01   4.500E-01   8.211E-02   7.790E-01   8.117E-01
  67.763  10.0   8.163E-02  -1.405E-02   7.857E-01   8.241E-02   1.214E-02   7.949E-01   4.500E-01   8.097E-02   7.857E-01   7.949E-01
  67.763  15.0   8.195E-02  -1.369E-02   7.923E-01   8.170E-02   1.679E-02   8.077E-01   3.500E-01   7.986E-02   7.923E-01   8.077E-01
