d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
  31.263  10.0   4.794E-02  -4.548E-02   3.944E-01   7.047E-02   1.919E-01   8.368E-01   4.500E-01   1.507E-01   3.944E-01   8.368E-01
  31.263  15.0   4.376E-02  -4.202E-02   3.765E-01   7.576E-02   1.836E-01   8.252E-01   4.500E-01   1.502E-01   3.765E-01   8.252E-01
  31.263  20.0   4.089E-02  -3.968E-02   3.747E-01   6.947E-02   2.706E-01   9.248E-01   3.500E-01   1.479E-01   3.747E-01   9.248E-01
  49.983   1.0   4.230E-02  -3.761E-02   4.443E-01   4.489E-02   1.414E-01   4.491E-01   1.000E+00   0.000E+00   4.443E-01   4.491E-01
  49.983   3.0   4.151E-02  -3.721E-02   4.343E-01   4.389E-02   1.422E-01   4.324E-01   1.000E+00   0.000E+00   4.343E-01   4.324E-01
  49.983   5.0   4.002E-02  -3.631E-02   4.141E-01   4.120E-02   1.445E-01   4.004E-01   1.000E+00   0.000E+00   4.141E-01   4.004E-01
  49.983   7.0   3.865E-02  -3.538E-02   3.864E-01   4.037E-02   1.445E-01   3.741E-01   1.000E+00   0.000E+00   3.864E-01   3.741E-01
  49.983  10.0   3.597E-02  -3.331E-02   3.758E-01   3.922E-02   1.669E-01   4.846E-01   7.500E-01   1.690E-01   3.758E-01   4.846E-01
  49.983  15.0   3.287E-02  -3.080E-02   3.651E-01   4.474E-02   2.168E-01   7.329E-01   5.500E-01   1.686E-01   3.651E-01   7.329E-01
  49.983  20.0   3.061E-02  -2.885E-02   3.526E-01   4.594E-02   2.137E-01   7.058E-01   5.500E-01   1.652E-01   3.526E-01   7.058E-01
  67.763   1.0   3.763E-02  -3.332E-02   4.411E-01   3.628E-02   1.676E-01   5.533E-01   1.000E+00   0.000E+00   4.411E-01   5.533E-01
  67.763   3.0   3.700E-02  -3.298E-02   4.315E-01   3.587E-02   1.678E-01   5.408E-01   1.000E+00   0.000E+00   4.315E-01   5.408E-01
  67.763   5.0   3.560E-02  -3.204E-02   4.123E-01   3.496E-02   1.682E-01   5.179E-01   1.000E+00   0.000E+00   4.123E-01   5.179E-01
  67.763   7.0   3.453E-02  -3.134E-02   3.861E-01   3.379E-02   1.686E-01   4.927E-01   1.000E+00   0.000E+00   3.861E-01   4.927E-01
  67.763  10.0   3.226E-02  -2.947E-02   3.684E-01   3.220E-02   1.692E-01   4.626E-01   1.000E+00   0.000E+00   3.684E-01   4.626E-01
  67.763  15.0   2.955E-02  -2.718E-02   3.473E-01   2.935E-02   1.714E-01   4.301E-01   1.000E+00   0.000E+00   3.473E-01   4.301E-01
  67.763  20.0   2.788E-02  -2.592E-02   3.451E-01   2.895E-02   2.164E-01   6.379E-01   6.500E-01   1.836E-01   3.451E-01   6.379E-01
  92.163   1.0   3.210E-02  -2.845E-02   4.501E-01   1.883E-02   2.087E-01   6.387E-01   1.000E+00   0.000E+00   4.501E-01   6.387E-01
  92.163   3.0   3.160E-02  -2.815E-02   4.427E-01   1.800E-02   2.091E-01   6.268E-01   1.000E+00   0.000E+00   4.427E-01   6.268E-01
  92.163   5.0   3.056E-02  -2.743E-02   4.226E-01   1.615E-02   2.104E-01   6.037E-01   1.000E+00   0.000E+00   4.226E-01   6.037E-01
  92.163   7.0   2.964E-02  -2.674E-02   3.960E-01   1.502E-02   2.106E-01   5.823E-01   1.000E+00   0.000E+00   3.960E-01   5.823E-01
  92.163  10.0   2.759E-02  -2.502E-02   3.841E-01   1.384E-02   2.107E-01   5.585E-01   1.000E+00   0.000E+00   3.841E-01   5.585E-01
  92.163  15.0   2.544E-02  -2.314E-02   3.591E-01   2.088E-02   2.024E-01   5.658E-01   1.000E+00   0.000E+00   3.591E-01   5.658E-01
  92.163  20.0   2.411E-02  -2.196E-02   3.399E-01   2.090E-02   1.997E-01   5.371E-01   1.000E+00   0.000E+00   3.399E-01   5.371E-01
 125.563   1.0   2.516E-02  -2.231E-02   5.008E-01   6.513E-03   2.489E-01   7.541E-01   1.000E+00   0.000E+00   5.008E-01   7.541E-01
 125.563   3.0   2.476E-02  -2.204E-02   4.961E-01   5.841E-03   2.490E-01   7.436E-01   1.000E+00   0.000E+00   4.961E-01   7.436E-01
 125.563   5.0   2.373E-02  -2.127E-02   4.864E-01   4.197E-03   2.496E-01   7.213E-01   1.000E+00   0.000E+00   4.864E-01   7.213E-01
 125.563   7.0   2.262E-02  -2.040E-02   4.778E-01   2.330E-03   2.501E-01   6.965E-01   1.000E+00   0.000E+00   4.778E-01   6.965E-01
 125.563  10.0   2.128E-02  -1.930E-02   4.646E-01   1.110E-03   2.497E-01   6.716E-01   1.000E+00   0.000E+00   4.646E-01   6.716E-01
 125.563  15.0   1.996E-02  -1.821E-02   4.387E-01  -1.237E-03   2.501E-01   6.404E-01   1.000E+00   0.000E+00   4.387E-01   6.404E-01
 125.563  20.0   1.873E-02  -1.715E-02   4.356E-01  -3.331E-03   2.488E-01   6.050E-01   1.000E+00   0.000E+00   4.356E-01   6.050E-01
 171.163   1.0   1.936E-02  -1.719E-02   5.034E-01  -1.217E-04   2.926E-01   9.379E-01   1.000E+00   0.000E+00   5.034E-01   9.379E-01
 171.163   3.0   1.912E-02  -1.702E-02   5.001E-01  -8.828E-04   2.927E-01   9.271E-01   1.000E+00   0.000E+00   5.001E-01   9.271E-01
 171.163   5.0   1.846E-02  -1.653E-02   4.845E-01  -2.267E-03   2.925E-01   9.033E-01   1.000E+00   0.000E+00   4.845E-01   9.033E-01
 171.163   7.0   1.787E-02  -1.608E-02   4.639E-01  -3.900E-03   2.922E-01   8.760E-01   1.000E+00   0.000E+00   4.639E-01   8.760E-01
 171.163  10.0   1.691E-02  -1.527E-02   4.438E-01  -5.662E-03   2.914E-01   8.444E-01   1.000E+00   0.000E+00   4.438E-01   8.444E-01
 171.163  15.0   1.552E-02  -1.408E-02   4.314E-01  -7.322E-03   2.902E-01   8.107E-01   1.000E+00   0.000E+00   4.314E-01   8.107E-01
 171.163  20.0   1.458E-02  -1.325E-02   4.200E-01  -7.813E-03   2.865E-01   7.777E-01   1.000E+00   0.000E+00   4.200E-01   7.777E-01
 233.563   1.0   1.330E-02  -1.172E-02   5.544E-01  -5.642E-03   3.429E-01   1.160E+00   1.000E+00   0.000E+00   5.544E-01   1.160E+00
 233.563   3.0   1.314E-02  -1.159E-02   5.536E-01  -6.158E-03   3.426E-01   1.150E+00   1.000E+00   0.000E+00   5.536E-01   1.150E+00
 233.563   5.0   1.250E-02  -1.107E-02   5.547E-01  -7.797E-03   3.420E-01   1.120E+00   1.000E+00   0.000E+00   5.547E-01   1.120E+00
 233.563   7.0   1.186E-02  -1.053E-02   5.543E-01  -9.578E-03   3.408E-01   1.086E+00   1.000E+00   0.000E+00   5.543E-01   1.086E+00
 233.563  10.0   1.096E-02  -9.731E-03   5.589E-01  -1.170E-02   3.391E-01   1.045E+00   1.000E+00   0.000E+00   5.589E-01   1.045E+00
 233.563  15.0   9.885E-03  -8.760E-03   5.618E-01  -1.397E-02   3.369E-01   9.998E-01   1.000E+00   0.000E+00   5.618E-01   9.998E-01
 233.563  20.0   9.172E-03  -8.106E-03   5.625E-01  -1.610E-02   3.334E-01   9.519E-01   1.000E+00   0.000E+00   5.625E-01   9.519E-01
 364.963   1.0   6.950E-03  -6.209E-03   5.205E-01  -4.276E-03   4.209E-01   1.622E+00   1.000E+00   0.000E+00   5.205E-01   1.622E+00
 364.963   3.0   6.896E-03  -6.168E-03   5.208E-01  -4.546E-03   4.205E-01   1.615E+00   1.000E+00   0.000E+00   5.208E-01   1.615E+00
 364.963   5.0   6.641E-03  -5.966E-03   5.193E-01  -5.969E-03   4.182E-01   1.576E+00   1.000E+00   0.000E+00   5.193E-01   1.576E+00
 364.963   7.0   6.453E-03  -5.840E-03   5.141E-01  -8.102E-03   4.151E-01   1.523E+00   1.000E+00   0.000E+00   5.141E-01   1.523E+00
 364.963  10.0   6.157E-03  -5.611E-03   5.116E-01  -1.012E-02   4.102E-01   1.461E+00   1.000E+00   0.000E+00   5.116E-01   1.461E+00
 364.963  15.0   5.825E-03  -5.350E-03   5.068E-01  -1.266E-02   4.040E-01   1.386E+00   1.000E+00   0.000E+00   5.068E-01   1.386E+00
 364.963  20.0   5.688E-03  -5.271E-03   5.011E-01  -1.496E-02   3.974E-01   1.316E+00   1.000E+00   0.000E+00   5.011E-01   1.316E+00
 483.563   1.0   5.836E-03  -5.541E-03   3.241E-01  -3.084E-04   4.640E-01   1.940E+00   1.000E+00   0.000E+00   3.241E-01   1.940E+00
 483.563   3.0   5.832E-03  -5.547E-03   3.242E-01  -3.800E-04   4.637E-01   1.937E+00   1.000E+00   0.000E+00   3.242E-01   1.937E+00
 483.563   5.0   5.804E-03  -5.580E-03   3.281E-01  -1.060E-03   4.606E-01   1.904E+00   1.000E+00   0.000E+00   3.281E-01   1.904E+00
 483.563   7.0   5.777E-03  -5.620E-03   3.318E-01  -1.809E-03   4.554E-01   1.857E+00   1.000E+00   0.000E+00   3.318E-01   1.857E+00
 483.563  10.0   5.740E-03  -5.661E-03   3.341E-01  -2.656E-03   4.473E-01   1.791E+00   1.000E+00   0.000E+00   3.341E-01   1.791E+00
 483.563  15.0   5.562E-03  -5.524E-03   3.248E-01  -3.561E-03   4.367E-01   1.708E+00   1.000E+00   0.000E+00   3.248E-01   1.708E+00
 483.563  20.0   5.367E-03  -5.348E-03   3.206E-01  -4.459E-03   4.264E-01   1.629E+00   1.000E+00   0.000E+00   3.206E-01   1.629E+00
 631.563   1.0   4.472E-03  -4.415E-03   1.631E-01  -2.573E-04   4.946E-01   2.116E+00   1.000E+00   0.000E+00   1.631E-01   2.116E+00
 631.563   3.0   4.462E-03  -4.408E-03   1.638E-01  -2.783E-04   4.946E-01   2.115E+00   1.000E+00   0.000E+00   1.638E-01   2.115E+00
 631.563   5.0   4.541E-03  -4.535E-03   1.712E-01  -6.159E-04   4.921E-01   2.093E+00   1.000E+00   0.000E+00   1.712E-01   2.093E+00
 631.563   7.0   4.581E-03  -4.628E-03   1.830E-01  -1.127E-03   4.871E-01   2.052E+00   1.000E+00   0.000E+00   1.830E-01   2.052E+00
 631.563  10.0   4.603E-03  -4.714E-03   1.949E-01  -1.824E-03   4.783E-01   1.984E+00   1.000E+00   0.000E+00   1.949E-01   1.984E+00
 631.563  15.0   4.569E-03  -4.721E-03   1.964E-01  -2.426E-03   4.659E-01   1.895E+00   1.000E+00   0.000E+00   1.964E-01   1.895E+00
 631.563  20.0   4.527E-03  -4.719E-03   2.021E-01  -3.177E-03   4.537E-01   1.806E+00   1.000E+00   0.000E+00   2.021E-01   1.806E+00
 774.683   1.0   8.651E-04  -7.454E-04   1.303E-01   4.557E-04   5.014E-01   2.164E+00   1.000E+00   0.000E+00   1.303E-01   2.164E+00
 774.683   3.0   8.627E-04  -7.444E-04   1.311E-01   4.492E-04   5.014E-01   2.164E+00   1.000E+00   0.000E+00   1.311E-01   2.164E+00
 774.683   5.0   8.595E-04  -7.518E-04   1.331E-01   3.480E-04   5.001E-01   2.154E+00   1.000E+00   0.000E+00   1.331E-01   2.154E+00
 774.683   7.0   8.513E-04  -7.724E-04   1.495E-01   1.333E-04   4.965E-01   2.127E+00   1.000E+00   0.000E+00   1.495E-01   2.127E+00
 774.683  10.0   8.368E-04  -7.825E-04   1.569E-01  -2.129E-04   4.887E-01   2.070E+00   1.000E+00   0.000E+00   1.569E-01   2.070E+00
 774.683  15.0   7.767E-04  -7.492E-04   1.680E-01  -5.968E-04   4.765E-01   1.986E+00   1.000E+00   0.000E+00   1.680E-01   1.986E+00
 774.683  20.0   6.687E-04  -6.437E-04   1.781E-01  -1.075E-03   4.641E-01   1.900E+00   1.000E+00   0.000E+00   1.781E-01   1.900E+00
 897.803   1.0   4.972E-04  -4.643E-04   1.126E-01   9.501E-05   4.961E-01   2.121E+00   1.000E+00   0.000E+00   1.126E-01   2.121E+00
 897.803   3.0   5.014E-04  -4.686E-04   1.107E-01   9.226E-05   4.961E-01   2.121E+00   1.000E+00   0.000E+00   1.107E-01   2.121E+00
 897.803   5.0   4.932E-04  -4.628E-04   1.113E-01   4.221E-05   4.956E-01   2.117E+00   1.000E+00   0.000E+00   1.113E-01   2.117E+00
 897.803   7.0   4.941E-04  -4.692E-04   1.195E-01  -1.134E-04   4.931E-01   2.098E+00   1.000E+00   0.000E+00   1.195E-01   2.098E+00
 897.803  10.0   4.868E-04  -4.720E-04   1.384E-01  -4.284E-04   4.866E-01   2.052E+00   1.000E+00   0.000E+00   1.384E-01   2.052E+00
 897.803  15.0   4.634E-04  -4.570E-04   1.508E-01  -8.334E-04   4.755E-01   1.974E+00   1.000E+00   0.000E+00   1.508E-01   1.974E+00
 897.803  20.0   4.093E-04  -4.093E-04   1.806E-01  -1.342E-03   4.635E-01   1.890E+00   1.000E+00   0.000E+00   1.806E-01   1.890E+00
1036.361   1.0   4.876E-04  -4.747E-04   2.424E-02  -3.977E-05   4.900E-01   2.079E+00   1.000E+00   0.000E+00   2.424E-02   2.079E+00
1036.361   3.0   4.874E-04  -4.747E-04   2.455E-02  -4.105E-05   4.900E-01   2.079E+00   1.000E+00   0.000E+00   2.455E-02   2.079E+00
1036.361   5.0   4.788E-04  -4.655E-04   2.156E-02  -5.037E-05   4.898E-01   2.078E+00   1.000E+00   0.000E+00   2.156E-02   2.078E+00
1036.361   7.0   4.817E-04  -4.743E-04   3.479E-02  -1.547E-04   4.884E-01   2.067E+00   1.000E+00   0.000E+00   3.479E-02   2.067E+00
1036.361  10.0   4.904E-04  -4.973E-04   6.820E-02  -4.244E-04   4.833E-01   2.030E+00   1.000E+00   0.000E+00   6.820E-02   2.030E+00
1036.361  15.0   4.783E-04  -4.983E-04   1.008E-01  -8.025E-04   4.735E-01   1.961E+00   1.000E+00   0.000E+00   1.008E-01   1.961E+00
1036.361  20.0   5.159E-04  -5.547E-04   1.332E-01  -1.318E-03   4.623E-01   1.882E+00   1.000E+00   0.000E+00   1.332E-01   1.882E+00
