d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
  31.263  10.0   1.246E-03  -4.444E-04   1.060E+00  -3.175E-02   3.421E-01   8.085E-01   1.000E+00   0.000E+00   1.060E+00   8.085E-01
  31.263  15.0   1.210E-03  -4.261E-04   9.834E-01  -3.123E-02   3.371E-01   7.864E-01   1.000E+00   0.000E+00   9.834E-01   7.864E-01
  31.263  20.0   1.055E-03  -1.269E-04  -2.262E-03  -3.092E-02   3.370E-01   7.882E-01   1.000E+00   0.000E+00  -2.262E-03   7.882E-01
  49.983   1.0   3.062E-03  -2.097E-03   5.757E-01  -2.444E-02   4.243E-01   1.345E+00   1.000E+00   0.000E+00   5.757E-01   1.345E+00
  49.983   3.0   3.051E-03  -1.946E-03   5.974E-01  -2.489E-02   4.047E-01   1.232E+00   1.000E+00   0.000E+00   5.974E-01   1.232E+00
  49.983   5.0   3.049E-03  -1.814E-03   6.323E-01  -2.433E-02   3.989E-01   1.207E+00   1.000E+00   0.000E+00   6.323E-01   1.207E+00
  49.983   7.0   2.900E-03  -1.672E-03   6.510E-01  -2.551E-02   3.894E-01   1.140E+00   1.000E+00   0.000E+00   6.510E-01   1.140E+00
  49.983  10.0   2.709E-03  -1.520E-03   6.136E-01  -2.564E-02   3.846E-01   1.111E+00   1.000E+00   0.000E+00   6.136E-01   1.111E+00
  49.983  15.0   2.482E-03  -1.314E-03   6.735E-01  -2.483E-02   3.732E-01   1.056E+00   1.000E+00   0.000E+00   6.735E-01   1.056E+00
  49.983  20.0   2.414E-03  -1.285E-03   6.685E-01  -2.372E-02   3.691E-01   1.044E+00   1.000E+00   0.000E+00   6.685E-01   1.044E+00
  67.763   1.0   4.244E-03  -2.762E-03   5.574E-01  -2.014E-02   4.934E-01   1.803E+00   1.000E+00   0.000E+00   5.574E-01   1.803E+00
  67.763   3.0   4.380E-03  -2.722E-03   5.743E-01  -2.197E-02   4.710E-01   1.651E+00   1.000E+00   0.000E+00   5.743E-01   1.651E+00
  67.763   5.0   4.646E-03  -2.796E-03   5.698E-01  -2.236E-02   4.643E-01   1.611E+00   1.000E+00   0.000E+00   5.698E-01   1.611E+00
  67.763   7.0   4.506E-03  -2.701E-03   5.787E-01  -2.411E-02   4.540E-01   1.529E+00   1.000E+00   0.000E+00   5.787E-01   1.529E+00
  67.763  10.0   4.425E-03  -2.758E-03   5.731E-01  -2.452E-02   4.500E-01   1.499E+00   1.000E+00   0.000E+00   5.731E-01   1.499E+00
  67.763  15.0   4.583E-03  -2.938E-03   5.416E-01  -2.694E-02   4.411E-01   1.418E+00   1.000E+00   0.000E+00   5.416E-01   1.418E+00
  67.763  20.0   4.536E-03  -2.946E-03   5.485E-01  -2.842E-02   4.391E-01   1.388E+00   1.000E+00   0.000E+00   5.485E-01   1.388E+00
  92.163   1.0   7.046E-03  -4.683E-03   5.564E-01  -7.066E-03   5.621E-01   2.466E+00   1.000E+00   0.000E+00   5.564E-01   2.466E+00
  92.163   3.0   7.328E-03  -4.728E-03   5.680E-01  -8.321E-03   5.343E-01   2.276E+00   1.000E+00   0.000E+00   5.680E-01   2.276E+00
  92.163   5.0   7.840E-03  -4.869E-03   5.769E-01  -7.667E-03   5.239E-01   2.233E+00   1.000E+00   0.000E+00   5.769E-01   2.233E+00
  92.163   7.0   7.702E-03  -4.806E-03   5.739E-01  -8.801E-03   5.125E-01   2.140E+00   1.000E+00   0.000E+00   5.739E-01   2.140E+00
  92.163  10.0   7.392E-03  -4.637E-03   5.525E-01  -9.529E-03   5.099E-01   2.106E+00   1.000E+00   0.000E+00   5.525E-01   2.106E+00
  92.163  15.0   6.921E-03  -3.906E-03   5.830E-01  -1.070E-02   4.983E-01   2.016E+00   1.000E+00   0.000E+00   5.830E-01   2.016E+00
  92.163  20.0   7.559E-03  -4.793E-03   5.305E-01  -1.160E-02   4.990E-01   2.004E+00   1.000E+00   0.000E+00   5.305E-01   2.004E+00
 125.563   1.0   9.422E-03  -4.966E-03   8.222E-01   1.602E-03   6.185E-01   3.100E+00   1.000E+00   0.000E+00   8.222E-01   3.100E+00
 125.563   3.0   9.685E-03  -4.992E-03   8.210E-01   7.958E-04   5.853E-01   2.866E+00   1.000E+00   0.000E+00   8.210E-01   2.866E+00
 125.563   5.0   1.025E-02  -5.139E-03   9.135E-01   1.490E-03   5.692E-01   2.792E+00   1.000E+00   0.000E+00   9.135E-01   2.792E+00
 125.563   7.0   9.963E-03  -5.029E-03   9.085E-01   3.697E-04   5.577E-01   2.682E+00   1.000E+00   0.000E+00   9.085E-01   2.682E+00
 125.563  10.0   9.672E-03  -5.190E-03   8.241E-01  -2.659E-04   5.598E-01   2.669E+00   1.000E+00   0.000E+00   8.241E-01   2.669E+00
 125.563  15.0   8.929E-03  -4.363E-03   9.886E-01  -7.877E-04   5.442E-01   2.552E+00   1.000E+00   0.000E+00   9.886E-01   2.552E+00
 125.563  20.0   9.039E-03  -4.486E-03   8.840E-01  -2.841E-04   5.456E-01   2.571E+00   1.000E+00   0.000E+00   8.840E-01   2.571E+00
 171.163   1.0   1.790E-02  -9.738E-03   9.089E-01   1.512E-02   6.357E-01   3.843E+00   1.000E+00   0.000E+00   9.089E-01   3.843E+00
 171.163   3.0   1.755E-02  -9.325E-03   8.967E-01   1.312E-02   6.060E-01   3.542E+00   1.000E+00   0.000E+00   8.967E-01   3.542E+00
 171.163   5.0   1.885E-02  -9.951E-03   9.798E-01   1.457E-02   5.788E-01   3.426E+00   1.000E+00   0.000E+00   9.798E-01   3.426E+00
 171.163   7.0   1.811E-02  -9.542E-03   9.649E-01   1.201E-02   5.747E-01   3.292E+00   1.000E+00   0.000E+00   9.649E-01   3.292E+00
 171.163  10.0   1.682E-02  -9.319E-03   1.034E+00   1.027E-02   5.849E-01   3.280E+00   1.000E+00   0.000E+00   1.034E+00   3.280E+00
 171.163  15.0   1.821E-02  -1.039E-02   7.637E-01   9.044E-03   5.651E-01   3.101E+00   1.000E+00   0.000E+00   7.637E-01   3.101E+00
 171.163  20.0   1.919E-02  -1.141E-02   6.326E-01   8.475E-03   5.621E-01   3.058E+00   1.000E+00   0.000E+00   6.326E-01   3.058E+00
 233.563   1.0   3.225E-02  -1.694E-02   1.052E+00   3.910E-02   5.289E-01   4.506E+00   1.000E+00   0.000E+00   1.052E+00   4.506E+00
 233.563   3.0   3.082E-02  -1.608E-02   1.014E+00   3.632E-02   5.281E-01   4.280E+00   1.000E+00   0.000E+00   1.014E+00   4.280E+00
 233.563   5.0   3.044E-02  -1.511E-02   1.360E+00   3.739E-02   4.902E-01   4.015E+00   1.000E+00   0.000E+00   1.360E+00   4.015E+00
 233.563   7.0   2.775E-02  -1.344E-02   1.756E+00   3.363E-02   4.957E-01   3.829E+00   1.000E+00   0.000E+00   1.756E+00   3.829E+00
 233.563  10.0   2.477E-02  -1.185E-02   2.062E+00   2.979E-02   5.216E-01   3.809E+00   1.000E+00   0.000E+00   2.062E+00   3.809E+00
 233.563  15.0   2.533E-02  -1.251E-02   1.735E+00   2.614E-02   4.891E-01   3.357E+00   1.000E+00   0.000E+00   1.735E+00   3.357E+00
 233.563  20.0   2.587E-02  -1.329E-02   1.510E+00   2.618E-02   4.782E-01   3.254E+00   1.000E+00   0.000E+00   1.510E+00   3.254E+00
 364.963   1.0   6.124E-02  -3.377E-02   8.329E-01   7.553E-02   2.311E-01   4.655E+00   1.000E+00   0.000E+00   8.329E-01   4.655E+00
 364.963   3.0   6.065E-02  -3.322E-02   8.149E-01   7.454E-02   2.441E-01   4.765E+00   1.000E+00   0.000E+00   8.149E-01   4.765E+00
 364.963   5.0   5.815E-02  -3.058E-02   8.898E-01   7.401E-02   2.473E-01   4.721E+00   1.000E+00   0.000E+00   8.898E-01   4.721E+00
 364.963   7.0   5.787E-02  -3.037E-02   8.491E-01   7.294E-02   2.616E-01   4.837E+00   1.000E+00   0.000E+00   8.491E-01   4.837E+00
 364.963  10.0   5.752E-02  -3.147E-02   8.233E-01   7.194E-02   2.967E-01   5.311E+00   1.000E+00   0.000E+00   8.233E-01   5.311E+00
 364.963  15.0   5.650E-02  -3.039E-02   8.122E-01   7.043E-02   2.913E-01   4.939E+00   1.000E+00   0.000E+00   8.122E-01   4.939E+00
 364.963  20.0   6.564E-02  -3.870E-02   5.564E-01   6.804E-02   2.909E-01   4.765E+00   1.000E+00   0.000E+00   5.564E-01   4.765E+00
 483.563   1.0   6.124E-02  -3.377E-02   8.329E-01   7.553E-02   2.311E-01   4.655E+00   1.000E+00   0.000E+00   8.329E-01   4.655E+00
 483.563   3.0   6.065E-02  -3.322E-02   8.149E-01   7.454E-02   2.441E-01   4.765E+00   1.000E+00   0.000E+00   8.149E-01   4.765E+00
 483.563   5.0   5.815E-02  -3.058E-02   8.898E-01   7.401E-02   2.473E-01   4.721E+00   1.000E+00   0.000E+00   8.898E-01   4.721E+00
 483.563   7.0   5.787E-02  -3.037E-02   8.491E-01   7.294E-02   2.616E-01   4.837E+00   1.000E+00   0.000E+00   8.491E-01   4.837E+00
 483.563  10.0   5.752E-02  -3.147E-02   8.233E-01   7.194E-02   2.967E-01   5.311E+00   1.000E+00   0.000E+00   8.233E-01   5.311E+00
 483.563  15.0   5.650E-02  -3.039E-02   8.122E-01   7.043E-02   2.913E-01   4.939E+00   1.000E+00   0.000E+00   8.122E-01   4.939E+00
