ID d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
 1    0.765   1.0   7.375E-02   2.894E-01   1.083E+00   1.770E-01  -3.815E-01   2.047E+00   1.941E-01   6.506E-02   2.524E+00   1.539E-01
 1    0.765   3.0   5.886E-02   1.867E-01   1.824E+00   1.336E-01   3.326E-01   1.907E+00   5.248E-01  -5.223E-01   2.838E+00   1.381E-01
 1    0.765   5.0   6.777E-02   9.118E-02   3.647E+00   7.297E-02   5.126E-01   2.101E+00   3.486E-01  -6.431E-01   3.124E+00   2.481E-01
 1    0.765   7.0   3.726E-02   4.063E-02  -1.822E-01   7.385E-01   5.452E-01   2.571E+00   5.272E-01  -5.682E-01   3.290E+00   2.003E-01
 1    0.765  10.0   7.301E-02   3.317E-01   2.044E+00   3.519E-01  -6.864E-01   2.621E+00   3.343E-01   3.370E-01   2.752E+00   3.512E-02
 1    0.765  15.0   8.555E-02   1.167E+00   1.891E+00   5.616E-01  -1.763E+00   2.420E+00   7.007E-01   4.637E-01   2.774E+00   3.815E-02
 1    0.765  20.0   5.679E-02   3.692E-01   1.575E+00   4.482E-01  -5.893E-01   2.348E+00   5.210E-01   2.668E-01   2.721E+00   3.579E-02
 1    1.901   1.0   8.249E-02   8.405E-02   9.901E-01   1.465E-01  -1.549E-01   1.895E+00   1.806E-01   2.253E-02   2.753E+00   9.003E-01
 1    1.901   3.0   8.008E-02   1.229E-01   1.356E+00   2.782E-01   1.018E-01   1.939E+00   7.676E-02  -2.800E-01   2.822E+00   1.188E-01
 1    1.901   5.0   8.265E-02   6.613E-02   8.532E-01   1.242E-01   1.356E-01   2.058E+00   1.140E-01  -2.610E-01   3.017E+00   1.502E-01
 1    1.901   7.0   8.027E-02   4.276E-02   9.201E-01   3.952E-02   1.405E-01   1.735E+00   3.172E-01  -2.542E-01   2.962E+00   3.397E-01
 1    1.901  10.0   1.016E-01   1.453E-01   9.757E-01   1.776E-01  -3.725E-01   2.337E+00   8.742E-01   1.150E-01   1.588E+00   7.457E-02
 1    1.901  15.0   7.567E-02   1.228E-01   1.648E+00   2.040E-01  -1.948E-01   2.461E+00   3.007E-02   6.204E-02   2.976E+00   4.812E-02
 1    1.901  20.0   6.837E-02   1.658E-01   1.638E+00   1.671E-01  -2.284E-01   2.499E+00   5.161E-02   5.327E-02   3.109E+00   3.620E-02
 1    4.091   1.0   5.935E-02   2.488E-02   1.992E-06   2.876E-01  -2.667E-01   2.361E+00   4.401E-01   1.825E-01   2.578E+00   3.364E-01
 1    4.091   3.0   7.217E-02   2.836E-02   1.758E+00   1.006E-01   1.868E-01   1.887E+00   3.441E-01  -2.873E-01   2.652E+00   2.210E-01
 1    4.091   5.0   1.015E-01  -5.598E-02  -5.285E-01   1.183E+00   1.769E-01   1.835E+00   5.343E-01  -2.224E-01   2.975E+00   2.160E-01
 1    4.091   7.0   6.904E-02   2.751E-02   1.109E+00   1.580E-01   1.667E-01   2.887E+00   4.359E-01  -2.633E-01   3.223E+00   2.334E-01
 1    4.091  10.0   5.151E-02   2.023E-01   1.978E+00   5.189E-01  -1.849E-01   2.393E+00   1.568E-01  -6.890E-02   3.614E+00   2.937E-01
 1    4.091  15.0   9.691E-02   1.590E-01   1.506E+00   3.763E-01  -3.245E-01   2.275E+00   8.926E-01   5.809E-02   3.061E+00   3.057E-02
 1    4.091  20.0   6.984E-02   7.776E-02   1.465E+00   1.661E-01  -1.878E-01   2.619E+00   5.004E-01   7.459E-02   3.167E+00   1.295E-01
 1    9.503   1.0   9.838E-02  -1.313E-02   8.161E-01   1.003E-01  -4.204E-02   1.290E+00   1.620E-01  -1.347E-01   3.946E+00   2.426E+00
 1    9.503   3.0   7.479E-02   5.143E-02   1.508E+00   4.293E-01  -1.744E-01   2.737E+00   3.169E-01   4.815E-02   3.274E+00   1.813E-01
 1    9.503   5.0   5.665E-03   6.025E-02   1.575E+00   1.402E-01   1.413E-01   3.938E-01   2.495E+00  -2.072E-01   2.796E+00   3.431E-01
 1    9.503   7.0   7.938E-02   4.436E-02   1.283E+00   8.801E-02  -9.632E-02   2.175E+00   1.669E-01  -6.574E-02   3.558E+00   2.570E-01
 1    9.503  10.0   8.370E-02   4.451E-02   1.319E+00   1.167E-01  -1.327E-01   2.199E+00   2.356E-01  -6.587E-02   3.884E+00   1.447E-01
 1    9.503  15.0   6.246E-02   9.576E-02   1.328E+00   9.140E-02  -2.517E-01   2.072E+00   3.407E-01   9.351E-02   1.977E+00   8.228E-01
 1    9.503  20.0   6.569E-02   2.007E-02   2.766E+00   3.440E-02  -1.008E-01   2.446E+00   1.864E-01   1.507E-02   2.311E+00   2.493E+00
 1   17.103   1.0   8.238E-02  -7.175E-02   1.093E+00   2.432E-01  -1.439E-02   1.743E+00   3.078E-02   3.755E-03   3.197E+00   2.409E+00
 1   17.103   3.0   8.502E-02   1.927E-02   8.754E-01   4.329E-02  -7.576E-02   1.999E+00   2.005E-01  -2.852E-02   2.582E+00   1.366E-01
 1   17.103   5.0   8.260E-02   4.902E-02   1.064E+00   1.824E-01  -8.959E-02   2.402E+00   1.838E-01  -4.202E-02   1.918E+00   1.070E-01
 1   17.103   7.0   8.666E-02   6.423E-02   1.238E+00   1.174E-01  -1.343E-01   2.220E+00   1.763E-01  -1.663E-02   3.456E+00   1.708E+00
 1   17.103  10.0   7.798E-02   1.133E-01   1.251E+00   1.186E-01  -2.485E-01   2.205E+00   2.435E-01   5.717E-02   2.559E+00   3.651E-01
