d(g/cm2) R(GV)          p1          p2          p3          p4          p5          p6          p7          p8          p9          p*
  31.263  10.0   5.184E-02  -4.970E-02   5.258E-01   8.425E-02   1.460E-01   8.077E-01   4.500E-01   1.402E-01   5.258E-01   8.077E-01
  31.263  15.0   5.464E-02  -5.226E-02   5.195E-01   8.150E-02   2.033E-01   9.081E-01   3.500E-01   1.352E-01   5.195E-01   9.081E-01
  31.263  20.0   5.696E-02  -5.442E-02   5.131E-01   8.625E-02   1.921E-01   9.138E-01   3.500E-01   1.307E-01   5.131E-01   9.138E-01
  49.983   1.0   3.262E-02  -3.212E-02   5.744E-01   2.654E-02   1.901E-01   5.858E-01   1.000E+00   0.000E+00   5.744E-01   5.858E-01
  49.983   3.0   3.791E-02  -3.688E-02   5.764E-01   4.603E-02   1.485E-01   5.120E-01   1.000E+00   0.000E+00   5.764E-01   5.120E-01
  49.983   5.0   4.031E-02  -3.897E-02   5.733E-01   5.000E-02   1.353E-01   4.522E-01   1.000E+00   0.000E+00   5.733E-01   4.522E-01
  49.983   7.0   4.223E-02  -4.074E-02   5.715E-01   5.101E-02   1.645E-01   6.438E-01   6.500E-01   1.676E-01   5.715E-01   6.438E-01
  49.983  10.0   4.373E-02  -4.200E-02   5.674E-01   5.387E-02   1.551E-01   6.073E-01   6.500E-01   1.614E-01   5.674E-01   6.073E-01
  49.983  15.0   4.582E-02  -4.386E-02   5.587E-01   5.663E-02   1.463E-01   5.756E-01   6.500E-01   1.562E-01   5.587E-01   5.756E-01
  49.983  20.0   4.774E-02  -4.563E-02   5.501E-01   5.827E-02   1.404E-01   5.500E-01   6.500E-01   1.520E-01   5.501E-01   5.500E-01
  67.763   1.0   3.076E-02  -3.032E-02   5.824E-01   2.034E-02   2.193E-01   7.293E-01   1.000E+00   0.000E+00   5.824E-01   7.293E-01
  67.763   3.0   3.527E-02  -3.443E-02   5.857E-01   2.916E-02   1.864E-01   6.070E-01   1.000E+00   0.000E+00   5.857E-01   6.070E-01
  67.763   5.0   3.731E-02  -3.618E-02   5.831E-01   3.380E-02   1.716E-01   5.541E-01   1.000E+00   0.000E+00   5.831E-01   5.541E-01
  67.763   7.0   3.880E-02  -3.747E-02   5.767E-01   4.291E-02   1.559E-01   5.469E-01   1.000E+00   0.000E+00   5.767E-01   5.469E-01
  67.763  10.0   4.048E-02  -3.896E-02   5.688E-01   4.520E-02   1.475E-01   5.071E-01   1.000E+00   0.000E+00   5.688E-01   5.071E-01
  67.763  15.0   4.260E-02  -4.096E-02   5.646E-01   4.171E-02   1.679E-01   5.946E-01   7.500E-01   1.727E-01   5.646E-01   5.946E-01
  67.763  20.0   4.472E-02  -4.298E-02   5.556E-01   4.523E-02   1.790E-01   6.795E-01   6.500E-01   1.676E-01   5.556E-01   6.795E-01
  92.163   1.0   2.829E-02  -2.803E-02   6.178E-01   1.687E-02   2.512E-01   9.174E-01   1.000E+00   0.000E+00   6.178E-01   9.174E-01
  92.163   3.0   3.174E-02  -3.119E-02   6.227E-01   2.261E-02   2.190E-01   7.712E-01   1.000E+00   0.000E+00   6.227E-01   7.712E-01
  92.163   5.0   3.308E-02  -3.228E-02   6.285E-01   2.568E-02   2.047E-01   7.090E-01   1.000E+00   0.000E+00   6.285E-01   7.090E-01
  92.163   7.0   3.595E-02  -3.476E-02   5.703E-01   2.802E-02   1.953E-01   6.702E-01   1.000E+00   0.000E+00   5.703E-01   6.702E-01
  92.163  10.0   3.640E-02  -3.500E-02   5.806E-01   2.960E-02   1.871E-01   6.290E-01   1.000E+00   0.000E+00   5.806E-01   6.290E-01
  92.163  15.0   3.652E-02  -3.485E-02   6.000E-01   3.213E-02   1.782E-01   5.933E-01   1.000E+00   0.000E+00   6.000E-01   5.933E-01
  92.163  20.0   3.632E-02  -3.446E-02   6.219E-01   4.138E-02   1.635E-01   5.986E-01   1.000E+00   0.000E+00   6.219E-01   5.986E-01
 125.563   1.0   2.697E-02  -2.686E-02   6.129E-01   1.645E-02   2.841E-01   1.149E+00   1.000E+00   0.000E+00   6.129E-01   1.149E+00
 125.563   3.0   2.959E-02  -2.929E-02   6.172E-01   1.775E-02   2.568E-01   9.801E-01   1.000E+00   0.000E+00   6.172E-01   9.801E-01
 125.563   5.0   3.083E-02  -3.034E-02   6.210E-01   1.873E-02   2.436E-01   9.028E-01   1.000E+00   0.000E+00   6.210E-01   9.028E-01
 125.563   7.0   3.348E-02  -3.267E-02   5.647E-01   1.931E-02   2.352E-01   8.529E-01   1.000E+00   0.000E+00   5.647E-01   8.529E-01
 125.563  10.0   3.414E-02  -3.320E-02   5.692E-01   1.956E-02   2.278E-01   8.042E-01   1.000E+00   0.000E+00   5.692E-01   8.042E-01
